"source_dir","modality","formula","setup","model","total_episodes","parse_error_episodes","parse_error_rate","finish_success_count","finish_wrong_count","forced_finish_count","inferred_experiment_config","inferred_prompt_config","inferred_env_config","inferred_model_config","original_wandb_project","confidence","notes"
"wandb_downloads_text_image_chart_only_action_text","Text+image","resistors","abstract","model_qwen25_vl_7b","10","0","0.0","4","6","0","experiment_chart_action.yaml","prompt_chart_action_fomula.yaml","env_resistors_abstract.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-text-image-chart-only-action-text","high","original base config 'config_chart_only.yaml' no longer exists; using 'config_chart_action.yaml' as equivalent"
"wandb_downloads_text_image_chart_only_action_text","Text+image","resistors","concrete","model_qwen25_vl_3b","10","0","0.0","9","1","0","experiment_chart_action.yaml","prompt_chart_action_fomula.yaml","env_resistors_concrete.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-text-image-chart-only-action-text","high","original base config 'config_chart_only.yaml' no longer exists; using 'config_chart_action.yaml' as equivalent"
"wandb_downloads_text_image_chart_only_action_text","Text+image","resistors","concrete","model_qwen25_vl_7b","10","0","0.0","9","1","0","experiment_chart_action.yaml","prompt_chart_action_fomula.yaml","env_resistors_concrete.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-text-image-chart-only-action-text","high","original base config 'config_chart_only.yaml' no longer exists; using 'config_chart_action.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","beers","abbrev","model_qwen25_vl_3b","10","1","0.1","1","8","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_beers_abbrev.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent; 1 parse_error episodes (fixed by new code: max_parse_retries=3, _repair() fix)"
"wandb_downloads_image_only","Simulation-only","beers","abbrev","model_qwen25_vl_7b","10","0","0.0","0","10","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_beers_abbrev.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","beers","abstract","model_qwen25_vl_3b","10","0","0.0","0","10","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_beers_abstract.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","beers","abstract","model_qwen25_vl_7b","10","0","0.0","0","10","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_beers_abstract.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","beers","concrete","model_qwen25_vl_3b","10","0","0.0","4","6","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_beers_concrete.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","beers","concrete","model_qwen25_vl_7b","10","0","0.0","8","2","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_beers_concrete.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","distance","abbrev","model_qwen25_vl_3b","10","0","0.0","0","10","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_distance_abbrev.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","distance","abbrev","model_qwen25_vl_7b","10","0","0.0","4","6","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_distance_abbrev.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","distance","abstract","model_qwen25_vl_3b","10","0","0.0","2","8","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_distance_abstract.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","distance","abstract","model_qwen25_vl_7b","10","0","0.0","3","7","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_distance_abstract.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","distance","concrete","model_qwen25_vl_3b","10","0","0.0","2","8","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_distance_concrete.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","distance","concrete","model_qwen25_vl_7b","10","0","0.0","10","0","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_distance_concrete.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","kinematics","abbrev","model_qwen25_vl_3b","10","0","0.0","3","7","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_kinematics_abbrev.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","kinematics","abbrev","model_qwen25_vl_7b","10","1","0.1","1","8","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_kinematics_abbrev.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent; 1 parse_error episodes (fixed by new code: max_parse_retries=3, _repair() fix)"
"wandb_downloads_image_only","Simulation-only","kinematics","abstract","model_qwen25_vl_3b","10","1","0.1","0","9","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_kinematics_abstract.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent; 1 parse_error episodes (fixed by new code: max_parse_retries=3, _repair() fix)"
"wandb_downloads_image_only","Simulation-only","kinematics","abstract","model_qwen25_vl_7b","10","0","0.0","0","10","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_kinematics_abstract.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","kinematics","concrete","model_qwen25_vl_3b","10","0","0.0","7","3","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_kinematics_concrete.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","kinematics","concrete","model_qwen25_vl_7b","10","0","0.0","7","3","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_kinematics_concrete.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","mass","abbrev","model_qwen25_vl_3b","10","0","0.0","4","6","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_mass_abbrev.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","mass","abbrev","model_qwen25_vl_7b","10","0","0.0","1","9","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_mass_abbrev.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","mass","abstract","model_qwen25_vl_3b","10","0","0.0","0","10","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_mass_abstract.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","mass","abstract","model_qwen25_vl_7b","10","0","0.0","1","9","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_mass_abstract.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","mass","concrete","model_qwen25_vl_3b","10","0","0.0","8","2","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_mass_concrete.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","mass","concrete","model_qwen25_vl_7b","10","0","0.0","10","0","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_mass_concrete.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","ohm","abbrev","model_qwen25_vl_3b","10","0","0.0","2","8","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_ohm_abbrev.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","ohm","abbrev","model_qwen25_vl_7b","10","0","0.0","0","10","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_ohm_abbrev.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","ohm","abstract","model_qwen25_vl_3b","10","0","0.0","1","9","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_ohm_abstract.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","ohm","abstract","model_qwen25_vl_7b","10","0","0.0","0","10","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_ohm_abstract.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","ohm","concrete","model_qwen25_vl_3b","10","0","0.0","7","3","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_ohm_concrete.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","ohm","concrete","model_qwen25_vl_7b","10","0","0.0","4","6","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_ohm_concrete.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","resistors","abbrev","model_qwen25_vl_3b","10","0","0.0","6","4","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_resistors_abbrev.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","resistors","abbrev","model_qwen25_vl_7b","10","0","0.0","6","4","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_resistors_abbrev.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","resistors","abstract","model_qwen25_vl_3b","10","0","0.0","3","7","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_resistors_abstract.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","resistors","abstract","model_qwen25_vl_7b","10","0","0.0","2","8","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_resistors_abstract.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","resistors","concrete","model_qwen25_vl_3b","10","0","0.0","10","0","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_resistors_concrete.yaml","model_qwen25_vl_3b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
"wandb_downloads_image_only","Simulation-only","resistors","concrete","model_qwen25_vl_7b","10","0","0.0","9","1","0","experiment_chart_action.yaml","prompt_strict_chart_only_fomula.yaml","env_resistors_concrete.yaml","model_qwen25_vl_7b.yaml","scientific-exploration-increase-image-only-","high","original base config 'config_chart_only_no_action.yaml' no longer exists; using 'config_strict_chart_only.yaml' as equivalent"
